
2024/01/16 (10:16:34) | ===> btop++ v.1.2.13
2024/01/16 (10:16:34) | INFO: Logger set to INFO
2024/01/16 (10:16:35) | INFO: Logger set to DEBUG

2024/01/17 (16:51:52) | ===> btop++ v.1.3.0
2024/01/17 (16:51:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/16 (14:53:52) | ===> btop++ v.1.3.0
2024/02/16 (14:53:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/15 (19:42:19) | ===> btop++ v.1.3.2
2024/06/15 (19:42:19) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/15 (20:31:42) | ===> btop++ v.1.3.2
2024/06/15 (20:31:42) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/16 (12:23:44) | ===> btop++ v.1.3.2
2024/06/16 (12:23:44) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/06/21 (17:47:41) | ===> btop++ v.1.3.2
2024/06/21 (17:47:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (18:25:17) | ===> btop++ v.1.3.2
2024/06/21 (18:25:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (18:32:09) | ===> btop++ v.1.3.2
2024/06/21 (18:32:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/21 (19:26:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/06/21 (19:26:32) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/06/21 (19:28:29) | ===> btop++ v.1.3.2
2024/06/21 (19:28:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (19:46:17) | ===> btop++ v.1.3.2
2024/06/21 (19:46:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (15:19:38) | ===> btop++ v.1.3.2
2024/06/22 (15:19:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/22 (16:18:19) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/06/22 (16:18:22) | ===> btop++ v.1.3.2
2024/06/22 (16:18:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (18:41:57) | ===> btop++ v.1.3.2
2024/06/22 (18:41:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (19:06:12) | ===> btop++ v.1.3.2
2024/06/22 (19:06:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/23 (13:01:31) | ===> btop++ v.1.3.2
2024/06/23 (13:01:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/23 (13:02:20) | ===> btop++ v.1.3.2
2024/06/23 (13:02:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/23 (13:44:47) | ===> btop++ v.1.3.2
2024/06/23 (13:44:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/24 (05:06:33) | ===> btop++ v.1.3.2
2024/06/24 (05:06:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/24 (09:29:16) | ===> btop++ v.1.3.2
2024/06/24 (09:29:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/25 (17:18:58) | ===> btop++ v.1.3.2
2024/06/25 (17:18:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!

2024/07/02 (03:49:36) | ===> btop++ v.1.3.2
2024/07/02 (03:49:36) | WARNING: Failed to set locale en_AU.UTF-8 continuing anyway.

2024/07/07 (08:37:30) | ===> btop++ v.1.3.2
2024/07/07 (08:37:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/07 (08:37:31) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/07/07 (08:37:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/07 (08:37:32) | ERROR: Couldn't determine terminal size of "/dev/tty"!
2024/07/07 (08:37:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/07 (08:37:33) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/07/10 (00:36:32) | ===> btop++ v.1.3.2
2024/07/10 (00:36:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/10 (00:36:32) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/07/14 (02:18:25) | ===> btop++ v.1.3.2
2024/07/14 (02:18:25) | ERROR: Stall in Runner thread, restarting!
2024/07/14 (02:18:25) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/07/14 (02:18:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
2024/07/14 (02:18:26) | WARNING: Error in Mem::collect() : std::future_error: No associated state
